Exchanges [Primary Listing],CIK
-,0001322422; 0001283621
-,0001420819; 0001615903
Nasdaq Global Select (NasdaqGS),1109354
Nasdaq Global Select (NasdaqGS),853816
Nasdaq Global Select (NasdaqGS),779152
New York Stock Exchange (NYSE),0001299939; 0000355883
New York Stock Exchange (NYSE),1121484
Nasdaq Global Select (NasdaqGS),872589
New York Stock Exchange (NYSE),943452
Nasdaq Global Select (NasdaqGS),85535
New York Stock Exchange (NYSE),354707
Nasdaq Global Select (NasdaqGS),916365
New York Stock Exchange (NYSE),82811
Nasdaq Global Select (NasdaqGS),857005
New York Stock Exchange (NYSE),84839
Nasdaq Global Select (NasdaqGS),802481
-,0001003935; 0001042618
New York Stock Exchange (NYSE),1732845
Nasdaq Global Select (NasdaqGS),1048477
New York Stock Exchange (NYSE),1046311
New York Stock Exchange (NYSE),1068851
Nasdaq Global Select (NasdaqGS),97210
New York Stock Exchange (NYSE),56047
Nasdaq Global Select (NasdaqGS),0000904016; 0001666757; 0000109380
New York Stock Exchange (NYSE),1395942
Nasdaq Global Select (NasdaqGS),880807
New York Stock Exchange (NYSE),71691
Nasdaq Global Select (NasdaqGS),912093
-,886977
New York Stock Exchange (NYSE),75252
New York Stock Exchange (NYSE),0001313900; 0001912291; 0001944013
New York Stock Exchange (NYSE),720672
New York Stock Exchange (NYSE),105634
Nasdaq Global Select (NasdaqGS),800240
New York Stock Exchange (NYSE),850033
New York Stock Exchange (NYSE),70866
New York Stock Exchange (NYSE),1206264
New York Stock Exchange (NYSE),22444
Nasdaq Global Select (NasdaqGS),108312
Nasdaq Global Select (NasdaqGS),937556
New York Stock Exchange (NYSE),785161
-,1347557
New York Stock Exchange (NYSE),1282637
New York Stock Exchange (NYSE),850209
New York Stock Exchange (NYSE),0000944492; 0001127703
Nasdaq Global Select (NasdaqGS),1069157
New York Stock Exchange (NYSE),749251
Nasdaq Global Select (NasdaqGS),711404
New York Stock Exchange (NYSE),1296445
New York Stock Exchange (NYSE),16040
Nasdaq Global Select (NasdaqGS),798941
New York Stock Exchange (NYSE),42888
Nasdaq Global Select (NasdaqGS),1415404
New York Stock Exchange (NYSE),1320414
New York Stock Exchange (NYSE),1021561
New York Stock Exchange (NYSE),911971
-,1347426
NYSE MKT LLC (NYSEAM),88121
Nasdaq Global Select (NasdaqGS),877212
Nasdaq Global Select (NasdaqGS),831641
New York Stock Exchange (NYSE),1262823
New York Stock Exchange (NYSE),0001624899; 0001757898
New York Stock Exchange (NYSE),746838
Nasdaq Global Select (NasdaqGS),726958
Nasdaq Global Select (NasdaqGS),311094
New York Stock Exchange (NYSE),730263
Nasdaq Global Select (NasdaqGS),750577
Nasdaq Global Select (NasdaqGS),813672
New York Stock Exchange (NYSE),1492691
New York Stock Exchange (NYSE),789460
Nasdaq Global Select (NasdaqGS),101382
New York Stock Exchange (NYSE),0000059255; 0000102645
Nasdaq Global Select (NasdaqGS),1158463
New York Stock Exchange (NYSE),98677
New York Stock Exchange (NYSE),1385280
New York Stock Exchange (NYSE),746598
-,0000921638; 0000882639
New York Stock Exchange (NYSE),822818
-,1123452
New York Stock Exchange (NYSE),103730
New York Stock Exchange (NYSE),356309
New York Stock Exchange (NYSE),1144215
Nasdaq Global Select (NasdaqGS),700564
New York Stock Exchange (NYSE),784977
New York Stock Exchange (NYSE),703351
New York Stock Exchange (NYSE),1057877
-,0001627168; 0001437705
New York Stock Exchange (NYSE),26780
Nasdaq Global Select (NasdaqGS),949157
New York Stock Exchange (NYSE),1060822
New York Stock Exchange (NYSE),105016
New York Stock Exchange (NYSE),719413
New York Stock Exchange (NYSE),16058
New York Stock Exchange (NYSE),1808834
Nasdaq Global Select (NasdaqGS),763901
New York Stock Exchange (NYSE),215466
New York Stock Exchange (NYSE),26324
New York Stock Exchange (NYSE),0000931015; 0000816951
Nasdaq Global Select (NasdaqGS),793074
Nasdaq Global Select (NasdaqGS),0000926282; 0001880346
Nasdaq Global Select (NasdaqGS),36146
New York Stock Exchange (NYSE),313143
New York Stock Exchange (NYSE),7789
New York Stock Exchange (NYSE),1047340
New York Stock Exchange (NYSE),0001541927; 0000003453
-,0000758528; 0000800166
Nasdaq Global Select (NasdaqGS),57515
New York Stock Exchange (NYSE),737758
New York Stock Exchange (NYSE),1368458
New York Stock Exchange (NYSE),1019849
Nasdaq Global Select (NasdaqGS),799233
New York Stock Exchange (NYSE),99780
New York Stock Exchange (NYSE),1094285
New York Stock Exchange (NYSE),74303
New York Stock Exchange (NYSE),860748
New York Stock Exchange (NYSE),812011
New York Stock Exchange (NYSE),1336917
New York Stock Exchange (NYSE),1065837
New York Stock Exchange (NYSE),28917
Nasdaq Global Select (NasdaqGS),896262
Nasdaq Global Select (NasdaqGS),750004
New York Stock Exchange (NYSE),110471
-,1402388
New York Stock Exchange (NYSE),1389050
New York Stock Exchange (NYSE),67887
New York Stock Exchange (NYSE),885245
Nasdaq Global Select (NasdaqGS),723612
Nasdaq Global Select (NasdaqGS),1097149
New York Stock Exchange (NYSE),920371
New York Stock Exchange (NYSE),40211
Nasdaq Global Select (NasdaqGS),912603
-,1131383
Nasdaq Global Select (NasdaqGS),1050797
New York Stock Exchange (NYSE),0000046497; 0000091142
Nasdaq Global Select (NasdaqGS),1047127
New York Stock Exchange (NYSE),910521
New York Stock Exchange (NYSE),61986
New York Stock Exchange (NYSE),861459
Nasdaq Global Select (NasdaqGS),885550
New York Stock Exchange (NYSE),105770
Nasdaq Global Select (NasdaqGS),315709
New York Stock Exchange (NYSE),310142
