gvkey,datadate,fyear,cik,naics
001004,2011-05-31,2010,0000001750,423860
001004,2012-05-31,2011,0000001750,423860
001004,2013-05-31,2012,0000001750,423860
001004,2014-05-31,2013,0000001750,423860
001004,2015-05-31,2014,0000001750,423860
001004,2016-05-31,2015,0000001750,423860
001004,2017-05-31,2016,0000001750,423860
001004,2018-05-31,2017,0000001750,423860
001004,2019-05-31,2018,0000001750,423860
001004,2020-05-31,2019,0000001750,423860
001004,2021-05-31,2020,0000001750,423860
001004,2022-05-31,2021,0000001750,423860
001004,2023-05-31,2022,0000001750,423860
001050,2010-12-31,2010,0000003197,333413
001050,2011-12-31,2011,0000003197,333413
001050,2012-12-31,2012,0000003197,333413
001050,2013-12-31,2013,0000003197,333413
001050,2014-12-31,2014,0000003197,333413
001050,2015-12-31,2015,0000003197,333413
001050,2016-12-31,2016,0000003197,333413
001050,2017-12-31,2017,0000003197,333413
001050,2018-12-31,2018,0000003197,333413
001050,2019-12-31,2019,0000003197,333413
001050,2020-12-31,2020,0000003197,333413
001050,2021-12-31,2021,0000003197,333413
001050,2022-12-31,2022,0000003197,333413
001050,2023-12-31,2023,0000003197,333413
001076,2010-12-31,2010,0001808834,522220
001076,2011-12-31,2011,0001808834,522220
001076,2012-12-31,2012,0001808834,522220
001076,2013-12-31,2013,0001808834,522220
001076,2014-12-31,2014,0001808834,522220
001076,2015-12-31,2015,0001808834,522220
001076,2016-12-31,2016,0001808834,522220
001076,2017-12-31,2017,0001808834,522220
001076,2018-12-31,2018,0001808834,522220
001076,2019-12-31,2019,0001808834,522220
001076,2020-12-31,2020,0001808834,522220
001076,2021-12-31,2021,0001808834,522220
001076,2022-12-31,2022,0001808834,522220
001076,2023-12-31,2023,0001808834,522220
001104,2010-12-31,2010,0000002098,332215
001104,2011-12-31,2011,0000002098,332215
001104,2012-12-31,2012,0000002098,332215
001104,2013-12-31,2013,0000002098,332215
001104,2014-12-31,2014,0000002098,332215
001104,2015-12-31,2015,0000002098,332215
