,year,bkvlps,epspx,cik,motif_003,motif_012,motif_102,motif_021D,motif_021U,motif_021C,motif_111D,motif_111U,motif_030T,motif_030C,motif_201,motif_120D,motif_120U,motif_120C,motif_210,motif_300
0,2010.0,21.0112,1.85,1750.0,0,0,0,0,0,0,5,1,0,0,127,0,0,0,0,2
1,2011.0,21.4697,1.68,1750.0,0,0,0,0,0,0,18,1,0,0,149,0,0,0,0,2
2,2012.0,23.3254,1.38,1750.0,0,0,0,0,0,0,17,1,0,0,139,0,0,0,0,2
3,2013.0,25.2654,1.85,1750.0,0,0,0,0,0,0,20,1,0,0,193,0,0,0,0,2
4,2014.0,23.8574,-1.4,1750.0,0,0,0,0,0,0,21,1,0,0,226,0,0,0,0,3
5,2015.0,25.0847,1.16,1750.0,0,0,0,1,1,0,41,1,0,0,235,0,0,0,0,3
6,2016.0,26.6112,1.47,1750.0,0,0,0,1,3,0,67,1,0,0,283,0,0,0,0,3
7,2017.0,26.9703,2.14,1750.0,0,0,0,1,3,0,49,2,0,0,164,0,0,0,0,3
8,2018.0,26.0406,2.42,1750.0,0,0,0,0,3,0,37,2,0,0,97,0,0,0,0,2
9,2019.0,25.7173,0.71,1750.0,0,0,0,10,3,15,35,51,0,0,85,0,0,0,0,1
10,2020.0,27.5449,1.31,1750.0,0,0,0,10,1,10,28,57,0,0,97,0,0,0,0,1
11,2021.0,29.2306,2.19,1750.0,0,0,0,11,1,10,32,62,0,0,111,0,0,0,0,1
12,2022.0,31.4784,2.55,1750.0,0,0,0,11,1,10,39,78,0,0,153,0,0,0,0,2
13,2010.0,4.4198,0.8,61478.0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
14,2010.0,-11.8309,-1.41,6201.0,0,0,0,0,0,0,5,1,0,0,55,0,0,0,0,1
15,2011.0,-21.2099,-5.91,6201.0,0,0,0,0,0,0,5,1,0,0,60,0,0,0,0,1
16,2013.0,-10.4608,-11.25,6201.0,0,0,0,8,3,3,22,4,0,0,21,0,0,0,0,1
17,2014.0,2.8976,4.02,6201.0,0,0,0,7,0,0,8,0,0,0,25,0,0,0,0,1
18,2015.0,9.0215,11.39,6201.0,0,0,0,0,0,0,5,4,0,0,31,0,0,0,0,1
19,2016.0,7.4612,4.85,6201.0,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0,1
20,2017.0,8.2564,3.92,6201.0,0,0,0,0,0,0,5,0,0,0,30,0,0,0,0,1
21,2018.0,-0.3669,3.04,6201.0,0,0,0,0,0,0,5,0,0,0,21,0,0,0,0,1
22,2019.0,-0.2756,3.8,6201.0,0,0,0,0,0,0,4,0,0,0,22,0,0,0,0,1
23,2020.0,-11.0494,-18.36,6201.0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,1
24,2021.0,-11.3319,-3.09,6201.0,0,0,0,0,0,0,5,0,0,0,30,0,0,0,0,1
25,2022.0,-8.9127,0.2,6201.0,0,0,0,0,0,0,7,0,0,0,31,0,0,0,0,1
26,2023.0,-7.9508,1.26,6201.0,0,0,0,0,0,0,7,0,0,0,31,0,0,0,0,1
27,2010.0,2.4565,0.16,3197.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
28,2011.0,2.9616,0.58,3197.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2012.0,3.6555,0.73,3197.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
30,2013.0,6.6599,0.33,3197.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
31,2014.0,6.8993,0.51,3197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2015.0,7.0509,-0.19,3197.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
33,2016.0,5.5641,-1.12,3197.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
