	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	bkvlps	epspx	bkvlps	epspx	bkvlps	epspx
						
motif_021d	-0.0335**	-0.00550	-0.0236***	-0.00483	-0.0263*	-0.00555
	(0.0146)	(0.00376)	(0.00715)	(0.00359)	(0.0137)	(0.00370)
motif_021u	-0.0520	-0.0121	0.0896*	0.0157	-0.0276	-0.0106
	(0.0815)	(0.0211)	(0.0483)	(0.0242)	(0.0769)	(0.0208)
motif_021c	0.273	0.0279	-0.165	-0.0763	0.278	0.0286
	(0.294)	(0.0761)	(0.140)	(0.0703)	(0.277)	(0.0747)
motif_111d	-0.0259	-0.00880	-0.0294**	-0.00744	-0.0329	-0.00852
	(0.0270)	(0.00699)	(0.0145)	(0.00729)	(0.0256)	(0.00690)
motif_111u	0.137**	0.0240	0.160***	0.0316**	0.101*	0.0202
	(0.0575)	(0.0148)	(0.0282)	(0.0141)	(0.0542)	(0.0145)
motif_201	0.0335***	0.00540***	0.0425***	0.00373	0.0478***	0.00679***
	(0.00802)	(0.00207)	(0.00549)	(0.00276)	(0.00759)	(0.00205)
motif_120d	-0.989*	-0.127	0.599*	0.0672	-0.790	-0.0992
	(0.533)	(0.138)	(0.316)	(0.158)	(0.503)	(0.135)
motif_120u	-11.75**	-1.350	-4.364	-0.529	-3.254	-0.196
	(5.544)	(1.434)	(5.314)	(2.670)	(5.296)	(1.429)
motif_120c	-16.94	-3.688	-7.376	-1.420	-13.91	-3.212
	(13.32)	(3.446)	(6.679)	(3.356)	(12.53)	(3.383)
motif_210	-3.015	-0.978	-2.413	-0.585	-4.956*	-1.052
	(3.020)	(0.781)	(1.620)	(0.814)	(2.855)	(0.771)
motif_300	-0.750***	-0.123**	-0.247**	-0.0579	-0.483**	-0.0841
	(0.200)	(0.0517)	(0.125)	(0.0629)	(0.190)	(0.0512)
Constant	15.46***	1.513***	14.39***	1.447***	14.79***	1.428***
	(0.315)	(0.0814)	(0.183)	(0.0918)	(0.298)	(0.0804)
						
Observations	15,130	15,161	15,095	15,126	15,130	15,161
R-squared	0.005	0.003	0.821	0.322	0.122	0.042
Sector Fixed Effects					x	x
Year Fixed Effects					x	x
Company Fixed Effects			x	x		
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
