	(1)	(2)	(3)	(4)
VARIABLES	bkvlps	epspx	bkvlps	epspx
				
motif_021d	-0.0658***	-0.00783**	-0.0606***	-0.00779**
	(0.0168)	(0.00356)	(0.0168)	(0.00356)
motif_021u	0.127	0.0393**	0.151*	0.0397**
	(0.0910)	(0.0193)	(0.0909)	(0.0193)
motif_021c	-0.657**	-0.0293	-0.526	-0.0261
	(0.321)	(0.0682)	(0.321)	(0.0683)
motif_111d	-0.0943***	-0.0286***	-0.0964***	-0.0280***
	(0.0297)	(0.00632)	(0.0297)	(0.00632)
motif_111u	0.371***	0.0419***	0.326***	0.0411***
	(0.0603)	(0.0128)	(0.0606)	(0.0128)
motif_201	0.0521***	0.0105***	0.0466***	0.00982***
	(0.00872)	(0.00185)	(0.00874)	(0.00186)
motif_120d	-0.714	-0.0111	-0.794	-0.0150
	(0.620)	(0.132)	(0.619)	(0.131)
motif_120u	-11.98*	-1.296	-11.84*	-1.300
	(6.494)	(1.381)	(6.486)	(1.379)
motif_120c	-18.59	-3.987	-20.01	-3.846
	(15.84)	(3.368)	(15.82)	(3.365)
motif_210	-4.664	-1.506**	-4.789	-1.494**
	(3.316)	(0.705)	(3.313)	(0.705)
motif_300	-0.969***	-0.108**	-0.864***	-0.0997**
	(0.213)	(0.0452)	(0.213)	(0.0452)
Constant	15.28***	1.183***	15.38***	1.193***
	(0.232)	(0.0492)	(0.232)	(0.0492)
				
Observations	39,266	39,360	39,266	39,360
R-squared	0.003	0.002	0.006	0.004
Year Fixed Effects			x	x
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
